frame_number,timestamp,keypoint_index,raw_x,raw_y,raw_z,raw_visibility,filtered_x,filtered_y,filtered_z,filtered_visibility,diff_x,diff_y,diff_z
3,0.100000,10,0.063980,0.333849,-0.127691,0.996898,0.057388,0.335554,-0.038448,0.996898,-0.006592,0.001705,0.089243
3,0.100000,11,0.080109,0.376093,0.065776,0.998902,0.054514,0.370909,0.021506,0.998902,-0.025595,-0.005184,-0.044271
3,0.100000,12,0.032785,0.376116,-0.109485,0.997517,0.058385,0.379992,-0.073211,0.997517,0.025600,0.003876,0.036274
3,0.100000,13,0.075736,0.440189,0.085090,0.264782,0.059482,0.444015,0.005562,0.264782,-0.016254,0.003826,-0.079528
3,0.100000,14,0.005697,0.432010,-0.189539,0.279258,0.035969,0.441602,-0.124794,0.279258,0.030272,0.009592,0.064746
3,0.100000,15,0.086294,0.467967,-0.014911,0.237045,0.071401,0.475009,-0.077849,0.237045,-0.014893,0.007042,-0.062937
3,0.100000,16,0.027976,0.450394,-0.279148,0.205101,0.031981,0.452490,-0.173138,0.205101,0.004005,0.002096,0.106010
3,0.100000,17,0.092569,0.477284,-0.029584,0.334062,0.074984,0.483529,-0.090712,0.334062,-0.017585,0.006245,-0.061128
3,0.100000,18,0.034806,0.461488,-0.312752,0.219511,0.033947,0.460001,-0.194839,0.219511,-0.000860,-0.001487,0.117913
3,0.100000,19,0.091917,0.466965,-0.049143,0.364559,0.075682,0.475462,-0.102529,0.364559,-0.016235,0.008497,-0.053386
3,0.100000,20,0.039565,0.452166,-0.308605,0.229073,0.033049,0.452062,-0.193933,0.229073,-0.006516,-0.000105,0.114673
3,0.100000,21,0.088392,0.466552,-0.025298,0.305930,0.075098,0.474252,-0.084694,0.305930,-0.013294,0.007701,-0.059396
3,0.100000,22,0.037035,0.448397,-0.278969,0.192814,0.032577,0.449385,-0.174260,0.192814,-0.004457,0.000988,0.104709
3,0.100000,23,0.067911,0.527795,0.058380,0.981585,0.042867,0.528106,0.036042,0.981585,-0.025044,0.000311,-0.022338
3,0.100000,24,0.054848,0.529561,-0.058452,0.978263,0.049760,0.533349,-0.036138,0.978263,-0.005088,0.003788,0.022313
3,0.100000,25,0.069103,0.627415,0.080544,0.555736,0.064026,0.621964,0.091573,0.555736,-0.005077,-0.005451,0.011029
3,0.100000,26,0.068725,0.621641,-0.156679,0.711386,0.064243,0.623950,-0.035863,0.711386,-0.004482,0.002309,0.120816
3,0.100000,27,0.068815,0.733700,0.170776,0.843801,0.069153,0.731547,0.155238,0.843801,0.000338,-0.002153,-0.015538
3,0.100000,28,0.007776,0.654687,-0.071925,0.743230,0.051800,0.711972,0.038952,0.743230,0.044024,0.057285,0.110877
3,0.100000,29,0.062702,0.754933,0.175080,0.820139,0.063719,0.754385,0.157779,0.820139,0.001017,-0.000548,-0.017301
3,0.100000,30,0.002365,0.674764,-0.063800,0.689416,0.048259,0.738586,0.045640,0.689416,0.045894,0.063822,0.109440
3,0.100000,31,0.088986,0.751406,0.119826,0.705725,0.083569,0.744722,0.112912,0.705725,-0.005417,-0.006684,-0.006914
3,0.100000,32,0.013155,0.698540,-0.108727,0.558277,0.047666,0.729262,0.011177,0.558277,0.034511,0.030722,0.119904
4,0.133333,0,0.072926,0.321765,-0.155659,0.998422,0.060652,0.325217,-0.060766,0.998422,-0.012274,0.003453,0.094893
4,0.133333,1,0.071835,0.312488,-0.136649,0.996344,0.058614,0.316282,-0.056111,0.996344,-0.013221,0.003794,0.080538
4,0.133333,2,0.072604,0.312351,-0.136807,0.996627,0.058219,0.316132,-0.056250,0.996627,-0.014385,0.003780,0.080556
4,0.133333,3,0.073375,0.312227,-0.136761,0.996753,0.057713,0.316059,-0.056205,0.996753,-0.015662,0.003832,0.080557
4,0.133333,4,0.067658,0.312348,-0.152311,0.997593,0.058526,0.316961,-0.064902,0.997593,-0.009131,0.004613,0.087408
4,0.133333,5,0.065386,0.312110,-0.152513,0.998447,0.058106,0.317210,-0.065064,0.998447,-0.007281,0.005100,0.087449
4,0.133333,6,0.062977,0.311955,-0.152648,0.998417,0.057655,0.317472,-0.065157,0.998417,-0.005322,0.005517,0.087490
4,0.133333,7,0.069254,0.318398,-0.039482,0.998179,0.054445,0.321234,-0.025518,0.998179,-0.014809,0.002837,0.013965
4,0.133333,8,0.057022,0.317238,-0.111919,0.997604,0.056486,0.323141,-0.062772,0.997604,-0.000536,0.005903,0.049147
4,0.133333,9,0.072419,0.331929,-0.118375,0.996682,0.059449,0.335145,-0.044927,0.996682,-0.012970,0.003216,0.073448
4,0.133333,10,0.068540,0.332293,-0.140101,0.997187,0.059329,0.334989,-0.057366,0.997187,-0.009211,0.002696,0.082734
4,0.133333,11,0.083987,0.377905,0.049738,0.998949,0.059719,0.372125,0.026507,0.998949,-0.024267,-0.005780,-0.023231
4,0.133333,12,0.033043,0.376423,-0.114768,0.997727,0.053906,0.379372,-0.080633,0.997727,0.020862,0.002950,0.034134
4,0.133333,13,0.080592,0.440320,0.053038,0.259493,0.063183,0.443374,0.014093,0.259493,-0.017409,0.003053,-0.038946
4,0.133333,14,0.006890,0.432502,-0.189593,0.345024,0.030813,0.440016,-0.136578,0.345024,0.023923,0.007514,0.053015
4,0.133333,15,0.092667,0.465148,-0.051452,0.261571,0.075126,0.473290,-0.073217,0.261571,-0.017541,0.008142,-0.021765
4,0.133333,16,0.028528,0.450794,-0.283941,0.268973,0.031381,0.452196,-0.193919,0.268973,0.002853,0.001402,0.090022
4,0.133333,17,0.098137,0.475014,-0.041244,0.365145,0.079044,0.482045,-0.082023,0.365145,-0.019093,0.007031,-0.040779
4,0.133333,18,0.038219,0.461700,-0.318600,0.280698,0.034687,0.460295,-0.218267,0.280698,-0.003532,-0.001404,0.100333
4,0.133333,19,0.098302,0.465067,-0.089990,0.397141,0.079643,0.473648,-0.100353,0.397141,-0.018660,0.008580,-0.010362
4,0.133333,20,0.043520,0.452163,-0.315739,0.290351,0.034870,0.452079,-0.216952,0.290351,-0.008649,-0.000084,0.098787
4,0.133333,21,0.096130,0.462832,-0.048071,0.340643,0.078777,0.472259,-0.078269,0.340643,-0.017353,0.009427,-0.030198
4,0.133333,22,0.041019,0.448352,-0.284502,0.247395,0.034044,0.449206,-0.194925,0.247395,-0.006976,0.000854,0.089576
4,0.133333,23,0.071730,0.528636,0.058649,0.983199,0.047961,0.528198,0.040018,0.983199,-0.023769,-0.000438,-0.018631
4,0.133333,24,0.059577,0.531649,-0.058700,0.980306,0.051468,0.533054,-0.040107,0.980306,-0.008110,0.001404,0.018594
4,0.133333,25,0.071465,0.631103,0.100622,0.565211,0.065319,0.623552,0.093148,0.565211,-0.006146,-0.007551,-0.007475
4,0.133333,26,0.072770,0.621765,-0.144840,0.738469,0.065725,0.623571,-0.055933,0.738469,-0.007045,0.001806,0.088908
4,0.133333,27,0.013511,0.660817,0.239374,0.832204,0.059402,0.719126,0.170175,0.832204,0.045891,0.058309,-0.069199
4,0.133333,28,0.032422,0.669994,-0.041594,0.765008,0.048390,0.704538,0.024313,0.765008,0.015968,0.034544,0.065908
4,0.133333,29,0.026521,0.708542,0.249857,0.810690,0.057224,0.746371,0.174163,0.810690,0.030703,0.037829,-0.075693
4,0.133333,30,0.027921,0.729583,-0.032073,0.700973,0.044685,0.737004,0.031530,0.700973,0.016764,0.007421,0.063603
4,0.133333,31,0.034787,0.719263,0.201071,0.713986,0.075054,0.740302,0.128442,0.713986,0.040266,0.021039,-0.072629
4,0.133333,32,0.045416,0.740134,-0.092470,0.596139,0.047273,0.731152,-0.007931,0.596139,0.001857,-0.008982,0.084538
5,0.166667,0,0.071728,0.321689,-0.128533,0.998538,0.062585,0.324605,-0.073505,0.998538,-0.009143,0.002916,0.055028
5,0.166667,1,0.071981,0.312506,-0.110463,0.996638,0.060950,0.315627,-0.066197,0.996638,-0.011031,0.003121,0.044266
5,0.166667,2,0.073158,0.312460,-0.110609,0.996888,0.060833,0.315494,-0.066338,0.996888,-0.012325,0.003034,0.044271
5,0.166667,3,0.074284,0.312415,-0.110560,0.997008,0.060616,0.315426,-0.066291,0.997008,-0.013668,0.003012,0.044269
5,0.166667,4,0.067342,0.312255,-0.123740,0.997800,0.060062,0.316144,-0.075885,0.997800,-0.007280,0.003889,0.047855
5,0.166667,5,0.065191,0.312090,-0.123951,0.998581,0.059338,0.316320,-0.076056,0.998581,-0.005853,0.004230,0.047895
5,0.166667,6,0.062971,0.311995,-0.124085,0.998554,0.058579,0.316521,-0.076158,0.998554,-0.004392,0.004525,0.047928
5,0.166667,7,0.072034,0.318508,-0.023038,0.998322,0.057526,0.320761,-0.025084,0.998322,-0.014508,0.002253,-0.002046
5,0.166667,8,0.057404,0.317201,-0.084037,0.997814,0.056645,0.322108,-0.066604,0.997814,-0.000759,0.004907,0.017433
5,0.166667,9,0.072141,0.331891,-0.093379,0.996962,0.061667,0.334581,-0.053862,0.996962,-0.010474,0.002690,0.039517
5,0.166667,10,0.067894,0.332087,-0.111981,0.997434,0.060821,0.334486,-0.067518,0.997434,-0.007072,0.002398,0.044464
5,0.166667,11,0.086614,0.379673,0.062958,0.998955,0.064480,0.373439,0.032989,0.998955,-0.022134,-0.006234,-0.029970
